Product Name,Description,Price,Category,Rating
Smartphone X,"The Smartphone X is a cutting-edge device that boasts a sleek design and powerful features. Equipped with a high-resolution display, it offers vivid and immersive visuals for gaming, streaming, and browsing. With its advanced camera system, you can capture stunning photos and videos in any lighting condition. Packed with the latest hardware and software, the Smartphone X delivers smooth performance and seamless multitasking.",799,Electronics,4.5
Ultra HD Smart TV,"Experience entertainment like never before with the Ultra HD Smart TV. Featuring a stunning 4K resolution display, this TV brings your favorite movies, shows, and games to life with incredible clarity and detail. With built-in smart capabilities, you can access a world of streaming content, apps, and more, all from the comfort of your couch. Plus, its sleek design adds a touch of elegance to any living space.",1299,Electronics,4.7
Wireless Noise-Canceling Headphones,"Immerse yourself in music without distractions with these Wireless Noise-Canceling Headphones. With advanced noise-canceling technology, they block out ambient sounds, allowing you to focus on your favorite tunes with crystal-clear audio. Their ergonomic design and soft ear cushions ensure long-lasting comfort, perfect for extended listening sessions on the go. Plus, with wireless connectivity, you can enjoy freedom of movement without tangled cords.",199,Electronics,4.8
Stainless Steel Blender,"Create delicious and healthy smoothies, soups, and sauces with the Stainless Steel Blender. Featuring a powerful motor and durable stainless steel blades, it effortlessly blends even the toughest ingredients to perfection. Its sleek and compact design makes it a stylish addition to any kitchen countertop, while its easy-to-clean construction ensures hassle-free maintenance.",79,Appliances,4.3
Professional DSLR Camera,"Capture stunning moments with professional quality using the Professional DSLR Camera. With its high-performance sensor and advanced autofocus system, it delivers sharp and detailed images in any shooting scenario. Whether you're a seasoned photographer or just starting out, its intuitive controls and ergonomic design make it easy to achieve the perfect shot every time.",1499,Electronics,4.9
Luxury Leather Wallet,"Stay organized and stylish with the Luxury Leather Wallet. Crafted from genuine leather, it offers a luxurious look and feel that's sure to impress. With multiple card slots, a bill compartment, and a coin pocket, it provides ample storage for your essentials. Its slim design fits comfortably in your pocket, making it the perfect accessory for everyday use.",49,Fashion,4.6
Portable Bluetooth Speaker,"Take your music with you wherever you go with the Portable Bluetooth Speaker. Featuring wireless connectivity, it pairs effortlessly with your smartphone, tablet, or laptop, allowing you to stream your favorite tracks with ease. Its compact and lightweight design makes it ideal for travel, outdoor adventures, or simply enjoying music at home.",39,Electronics,4.4
Stainless Steel Cookware Set,"Upgrade your kitchen with the Stainless Steel Cookware Set. Made from durable stainless steel, this set includes everything you need to cook up a storm, from frying pans and saucepans to stockpots and utensils. With their heat-resistant handles and non-stick interiors, these pots and pans are easy to use and clean, making meal preparation a breeze.",199,Appliances,4.7
Fitness Tracker Watch,"Stay on top of your fitness goals with the Fitness Tracker Watch. Featuring built-in sensors, it tracks your steps, calories burned, heart rate, and more, giving you valuable insights into your health and activity levels. With its sleek design and customizable display, it's the perfect companion for workouts, runs, and everyday life.",89,Fitness,4.5
Electric Toothbrush,"Achieve a brighter smile with the Electric Toothbrush. With its oscillating bristles and built-in timer, it ensures thorough and effective cleaning for a healthier mouth and gums. Its rechargeable battery and waterproof design make it convenient and easy to use, whether at home or on the go. Plus, with multiple brushing modes, you can customize your brushing experience for optimal results.",49,Personal Care,4.3
Smartwatch,"The Smartwatch is your ultimate companion for staying connected and organized on the go. With its sleek and stylish design, it adds a touch of sophistication to any outfit. Equipped with a variety of features, including notifications, activity tracking, and built-in GPS, it helps you stay on top of your day without missing a beat. Whether you're juggling work meetings, fitness goals, or social events, the Smartwatch keeps you in control.",249,Electronics,4.6
Robot Vacuum Cleaner,"Simplify your cleaning routine with the Robot Vacuum Cleaner. With its intelligent navigation system, it effortlessly navigates around furniture and obstacles, ensuring thorough cleaning of every corner of your home. Its powerful suction and advanced filtration system capture dust, pet hair, and debris, leaving your floors sparkling clean. Plus, with its programmable scheduling feature, you can set it to clean while you're away, so you always come home to a tidy space.",299,Appliances,4.8
Gaming Laptop,"Immerse yourself in the world of gaming with the Gaming Laptop. Powered by high-performance hardware, including a fast processor and dedicated graphics card, it delivers smooth and responsive gameplay for even the most demanding titles. With its vibrant display and immersive audio, you'll feel like you're right in the action. Plus, its sleek and portable design makes it easy to take your gaming experience with you wherever you go.",1499,Electronics,4.7
Wireless Charging Pad,"Say goodbye to tangled cords with the Wireless Charging Pad. Simply place your compatible device on the pad to enjoy fast and convenient charging without the need for cables. Its sleek and compact design makes it a stylish addition to any desk or nightstand, while its built-in safety features ensure worry-free charging every time.",29,Electronics,4.2
Coffee Maker,"Start your day on the right foot with the Coffee Maker. With its programmable timer and multiple brew settings, you can enjoy a freshly brewed cup of coffee exactly how you like it, whenever you need it. Its sleek design and compact footprint make it a stylish and practical addition to any kitchen countertop, while its easy-to-clean construction ensures hassle-free maintenance.",79,Appliances,4.5
Wireless Earbuds,"Experience true wireless freedom with these Wireless Earbuds. With their Bluetooth connectivity, they pair effortlessly with your smartphone or tablet, allowing you to enjoy your favorite music and podcasts without the hassle of tangled cords. Their compact and lightweight design makes them perfect for workouts, commutes, or just relaxing at home.",99,Electronics,4.4
Air Purifier,"Breathe easier with the Air Purifier. Featuring advanced filtration technology, it removes airborne pollutants, allergens, and odors, leaving your indoor air clean and fresh. Its compact and portable design makes it ideal for use in bedrooms, offices, or anywhere you need relief from poor air quality. Plus, with its whisper-quiet operation, it won't disrupt your daily activities or sleep.",149,Home & Kitchen,4.6
